Index,AreaName,Price ($),lat,lng,Address,City
5007,Sunnyside,379000,43.636387,-79.466263,#1003 - 1910 LAKE SHORE BLVD W,Toronto
5008,Bay Cloverhill,249000,43.665531,-79.385147,598 YONGE ST,Toronto
5009,Fairbank,740000,43.68784,-79.452614,3 ROCHDALE AVE,Toronto
5010,Midtown Toronto,479900,43.710548,-79.37999,#111 - 562 EGLINTON AVE E,Toronto
5011,Toronto,1199900,43.653225,-79.383186,6 GOLD BROOK GA,Toronto
5012,Don Mills,1899000,43.74173,-79.356651,4 CHATFIELD DR,Toronto
5013,Agincourt,275000,43.778103,-79.281586,#3506 - 125 VILLAGE GREEN SQ,Toronto
5014,Financial District,1080000,43.647133,-79.377068,#322 /32- 4750 YONGE ST,Toronto
5015,Woburn,759900,43.776279,-79.232376,169 ELLESMERE RD,Toronto
5016,Nortown,2088000,43.727737,-79.42942,567 MELROSE AVE,Toronto
5017,Downsview,10500000,43.72546,-79.487534,1184 WILSON AV,Toronto
5018,Downtown,199000,43.655495,-79.398918,357 SPADINA AVE,Toronto
5019,Downtown,149000,43.659393,-79.385529,736 Bay Street,Toronto
5020,Bendale,456000,43.772346,-79.255424,180 BOROUGH DR,Toronto
5021,Cliffcrest,351000,43.725578,-79.23761,#1459 - 60 ANN O&#39;REILLY RD,Toronto
5022,Entertainment District,428000,43.649025,-79.387138,#603 - 126 SIMCOE ST,Toronto
5023,York University Heights,49000,43.764915,-79.487801,#15 - 1270 FINCH AVE W,Toronto
5024,The Beach,128000,43.672508,-79.287758,2377 QUEEN ST E,Toronto
5025,Leaside,2539000,43.715908,-79.367294,553 BROADWAY AVE,Toronto
5026,Midtown Toronto,998000,43.708008,-79.400787,#Th03 - 58 ORCHARD VIEW BLVD,Toronto
5027,Etobicoke West Mall,338900,43.646812,-79.566681,#711 - 451 THE WEST MALL ST,Toronto
5028,Brookhaven,218900,43.697231,-79.490097,#1914 - 10 MARTHA EATON WAY,Toronto
5029,Islington - City Centre West,309000,43.609993,-79.55748,#2806 - 215 SHERWAY GARDENS RD,Toronto
5030,Willowdale,519000,43.757988,-79.403625,#1709 - 120 HARRISON GARDEN BLVD,Toronto
5031,Little Portugal,1369000,43.642521,-79.422165,80 Dovercourt Rd,Toronto
5032,Trinity - Bellwoods,84000,43.646778,-79.41964,#Store - 121 OSSINGTON AVE,Toronto
5033,Parkdale,270000,43.635578,-79.441345,2167 LAKE SHORE BLVD,Toronto
5034,Jane and Finch,269900,43.751492,-79.512749,59 Driftwood Ave,Toronto
5035,Downtown,2099000,43.649784,-79.38044,#4404 - 311 BAY ST,Toronto
5036,Downtown,720000,43.669456,-79.387474,#2208 - 35 BALMUTO ST,Toronto
5037,Midtown Toronto,99000,43.712566,-79.399895,2518 YONGE ST,Toronto
5038,Woburn,235000,43.781796,-79.246574,#1611 - 38 LEE CENTRE DR,Toronto
5039,Newtonbrook,415000,43.781261,-79.413086,#707 - 18 PEMBERTON AVE,Toronto
5040,Palmerston,439000,43.826523,-80.842804,#72 - 91 L&#39;AMOREAUX DR,Toronto
5041,Wynford-Concorde,320700,43.723839,-79.337303,#715 - 18 WYNFORD DR,Toronto
5042,Wilson Heights,279000,43.735577,-79.442574,428 WILSON AVE,Toronto
5043,Agincourt,50000,43.805878,-79.288315,3280 MIDLAND AVE,Toronto
5044,Downtown,469999,43.641632,-79.38205,#2003 - 12 YORK ST,Toronto
5045,Rexdale,420000,43.731674,-79.576454,#1118 - 80 ESTHER LORRIE DR,Toronto
5046,Upper Beaches,629990,43.685524,-79.294144,#101 - 2320 GERRARD ST E,Toronto
5047,Downtown,880000,43.659836,-79.384956,#3009 - 761 BAY ST,Toronto
5048,Downtown,439000,43.669609,-79.384773,#412 - 35 HAYDEN ST,Toronto
5049,Rexdale,407500,43.731674,-79.576454,#Ph 4 - 80 ESTHER LORRIE DR,Toronto
5050,Rouge,1195900,43.794567,-79.139496,#16 - 67 KIRKDENE DR,Toronto
5051,Dorset Park,499900,43.764812,-79.280273,#9 - 1415 KENNEDY RD,Toronto
5052,Eatonville,360000,43.639694,-79.563148,#2424 - 2 EVA RD,Toronto
