SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Knob Hill School,25 Seminole Avenue,Scarborough,M1J 1M8,M1J
Presteign Heights Elementary School,2570 St Clair Avenue East,East York,M4B 1M3,M4B
Driftwood,265 Driftwood Avenue,North York,M3N 2N6,M3N
D A Morrison,271 Gledhill Avenue,East York,M4C 4L2,M4C
Finch,277 Finch Avenue East,North York,M2N 4S3,M2N
Gordon A Brown,2800 St Clair Avenue East,East York,M4B 1N2,M4B
Hodgson Senior,282 Davisville Avenue,Toronto,M4S 1H2,M4S
Charles H Best,285 Wilmington Avenue,North York,M3H 5K8,M3H
Pleasant,288 Pleasant Avenue,North York,M2R 2R1,M2R
Agincourt,29 Lockie Avenue,Agincourt,M1S 1N3,M1S
Rolph Road Elementary School,31 Rolph Road,East York,M4G 3M5,M4G
Fairmount,31 Sloley Road,Scarborough,M1M 1C7,M1M
Sir Alexander Mackenzie Senior,33 Heather Road,Agincourt,M1S 2E2,M1S
Lescon,34 Lescon Road,North York,M2J 2G6,M2J
Henry Hudson Senior,350 Orton Park Road,Scarborough,M1G 3H4,M1G
Runnymede,357 Runnymede Road,Toronto,M6S 2Y7,M6S
Oakridge,110 Byng Avenue,Scarborough,M1L 3P1,M1L
Buchanan,4 Bucannan Road,Scarborough,M1R 3V3,M1R
Adam Beck,400 Scarborough Road,Toronto,M4E 3M8,M4E
Mill Valley,411 Mill Road,Etobicoke,M9C 1Y9,M9C
Davisville,43 Millwood Road,Toronto,M4S 1J6,M4S
Metropolitan Toronto School for the Deaf,43 Millwood Road,Toronto,M4S 1J6,M4S
John McCrae,431 McCowan Road,Scarborough,M1J 1J1,M1J
Ancaster,44 Ancaster Road,North York,M3K 1S6,M3K
Albion Heights,45 Lynmont Road,Etobicoke,M9V 3W9,M9V
Sunny View,450 Blythwood Road,Toronto,M4N 1A9,M4N
Brown,454 Avenue Road,Toronto,M4V 2J1,M4V
J G Workman,487 Birchmount Road,Scarborough,M1K 1N7,M1K
Etienne Brule,50 Cloverhill Road,Etobicoke,M8Y 1T3,M8Y
Norman Ingram,50 Duncairn Road,North York,M3B 1C8,M3B
Seneca School,580 Rathburn Road,Etobicoke,M9C 3T3,M9C
William G Miller,60 Bennett Road,West Hill,M1E 3Y3,M1E
North Agincourt,60 Moran Road,Agincourt,M1S 2J3,M1S
Rockford,60 Rockford Road,North York,M2R 3A7,M2R
Jesse Ketchum,61 Davenport Road,Toronto,M5R 1H4,M5R
Humber Valley Village,65 Hartfield Road,Etobicoke,M9A 3E1,M9A
John G Diefenbaker,70 Dean Park Road,Scarborough,M1B 2X3,M1B
Duke of Connaught,70 Woodfield Road,Toronto,M4L 2W6,M4L
Tecumseh Senior,720 Scarborough Golf Club Road,Scarborough,M1G 1H7,M1G
Church Street,83 Alexander Street,Toronto,M4Y 1B7,M4Y
Chartland,109 Chartland Boulevard South,Agincourt,M1S 2R7,M1S
Pineway,110 Pineway Boulevard,North York,M2H 1A8,M2H
Owen,111 Owen Boulevard,North York,M2P 1G6,M2P
J B Tyrrell Senior,10 Corinthian Boulevard,Agincourt,M1W 1B3,M1W
David Lewis,130 Fundy Bay Boulevard,Agincourt,M1W 3G1,M1W
Valley Park,130 Overlea Boulevard,Don Mills,M3C 1B2,M3C
Sir Samuel B Steele,131 Huntsmill Boulevard,Agincourt,M1W 2Y2,M1W
Macklin,136 Ingleton Boulevard,Scarborough,M1V 2Y4,M1V
Summit Heights,139 Armour Boulevard,North York,M3H 1M1,M3H
Sir Ernest MacMillan Senior,149 Huntsmill Boulevard,Scarborough,M1W 2Y2,M1W
Ernest,150 Cherokee Boulevard,North York,M2J 4A4,M2J
Island Public/Natural Science,30 Centre Island Pk ,Toronto,M5J 2E9,M5J
Northlea,305 Rumsey Rd ,Toronto,M4G 1R4,M4G
Rolph Road,31 Rolph Rd ,Toronto,M4G 3M5,3M5
Alvin Curling,50 Upper Rouge Trail,Toronto,M1B 6K4,M1B
The Waterfront,635 Queen's Quay W ,Toronto,M5V 3G3,M5V
Frankland,816 Logan Ave,Toronto,M4K 3E1,M4K
Lambton Kingsway,525 Prince Edward Dr ,Toronto,M8X 2M6,M8X
Bennington Heights,76 Bennington Heights Dr,Toronto,M4G 1B1,M4G
Humberwood Downs,850 Humberwood Blvd,Toronto,M9W 7A6,M9W
Balmy Beach,14 Pine Ave,Toronto,M4E 1L6,M4E
Ledbury Park,95 Falkirk St ,Toronto,M5M 4K1,M5M
Hillcrest,44 Hilton Ave,Toronto,M5R 3E6,M5R
Hawthorne II Bilingual,50 Essex St,Toronto,M6G 1T3,M6G
Humewood,15 Cherrywood Ave ,Toronto,M6C 2X4,M6C
Dublin Heights,100 Bainbridge Ave ,Toronto,M3H 2K2,M3H
James S Bell,90 Thirty First St ,Toronto,M8W 3E9,M8W
Sprucecourt,70 Spruce St ,Toronto,M5A 2J1,M5A
Faywood Arts,95 Faywood Blvd ,Toronto,M3H 2X5,M3H
Ryerson,96 Denison Ave ,Toronto,M5T 1E4,M5T
Whole Child,151 Hiawatha Road ,Toronto,M4L 2Y1,M4L
George Webster,2 Cedarcrest Blvd,Toronto,M4B 2N9,M4B
Carleton Village,315 Osler St ,Toronto,M6N 2Z4,M6N
Elmbank,10 Pittsboro Dr ,Toronto,M9V 3R4,M9V
J R Wilcox,231 Ava Rd,Toronto,M6C 1X3,M6C
Rawlinson,231 Glenholme Ave,Toronto,M6E 3C7,M6E
Kane,300 Kane Ave,Toronto,M6M 3P1,M6M
Portage Trail Junior Community,100 Sidney Belsey Cres,Toronto,M6M 5H6,M6M
Knob Hill,25 Seminole Ave ,Toronto,M1J 1M8,M1J
R J Lang,227 Drewry Ave ,Toronto,M2M 1E3,M2M
First Nations School of Toronto,935 Dundas St E,Toronto,M4M 1R4,M4M
