SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Dixon Grove,315 The Westway,Etobicoke,M9R 1H1,M9R
Cedar Drive,21 Gatesview Avenue,Scarborough,M1J 3G4,M1J
Yorkview,130 Yorkview Drive,North York,M2R 1K1,M2R
Milliken,130 Port Royal Trail,Agincourt,M1V 2T4,M1V
Highland Heights,35 Glendower Circuit,Agincourt,M1T 2Z3,M1T
Samuel Hearne,21 Newport Avenue,Scarborough,M1L 4N7,M1L
Fenside,131 Fenside Drive,North York,M3A 2V9,M3A
Mary Shadd,135 Hupfield Trail,Scarborough,M1B 4R6,M1B
Cameron,211 Cameron Avenue,North York,M2N 1E8,M2N
West Humber,15 Delsing Drive,Etobicoke,M9W 4S7,M9W
Highland Creek,1410 Military Trail,West Hill,M1C 1A8,M1C
Crescent Town Elementary School,4 Massey Square,East York,M4C 5M9,M4C
Highview,22 Highview Avenue,North York,M3M 1C4,M3M
Eatonville,15 Rossburn Drive,Etobicoke,M9C 2P7,M9C
Fairglen,2200 Pharmacy Avenue,Agincourt,M1W 1H8,M1W
Grey Owl,150 Wickson Trail,Agincourt,M1B 1M4,M1B
Lawrence Heights,50 Highland Hill,North York,M6A 2R1,M6A
Eglinton,223 Eglinton Avenue East,Toronto,M4P 1L1,M4P
Hunter's Glen,16 Haileybury Drive,Scarborough,M1K 4X5,M1K
Joseph Howe Senior,20 Winter Gardens Trail,West Hill,M1C 3E7,M1C
Cornell,61 Holmfirth Terrace,Scarborough,M1G 1G8,M1G
Tom Longboat,37 Crow Trail,Scarborough,M1B 1X6,M1B
Poplar Road,66 Dearham Wood,West Hill,M1E 1S4,M1E
Spectrum Alternative Senior School,43 Millwood Road,Toronto,M4S 1J6,M4S
Lord Roberts,165 Lord Roberts Drive,Scarborough,M1K 3W5,M1K
Highcastle,370 Military Trail,West Hill,M1E 4E6,M1E
Givins/Shaw,49 Givins Street,Toronto,M6J 2X5,M6J
O'Connor,1665 O'Connor Drive,North York,M4A 1W5,M4A
Banting and Best,380 Goldhawk Trail,Agincourt,M1V 4E7,M1V
Island Public/Natural Science School,30 Centre Island Park,Toronto,M5J 2E9,M5J
Garden Avenue,225 Garden Avenue,Toronto,M6R 1M9,M6R
Port Royal,408 Port Royal Trail,Agincourt,M1V 4R1,M1V
R J Lang Elementary and,227 Drewry Avenue,North York,M2M 1E3,M2M
Smithfield,175 Mount Olive Drive,Etobicoke,M9V 2E3,M9V
Alexander Stirling,70 Fawcett Trail,Scarborough,M1B 3A9,M1B
Dovercourt,228 Bartlett Avenue,Toronto,M6H 3G4,M6H
Dallington,18 Dallington Drive,North York,M2J 2G3,M2J
Carleton Village and Senior Sports and Wellness Academy,315 Osler Street,Toronto,M6N 2Z4,M6N
Malvern,70 Mammoth Hall Trail,Agincourt,M1B 1P6,M1B
Pelmo Park,180 Gary Drive,North York,M9N 2M1,M9N
Avondale,171 Avondale Avenue,North York,M2N 2V4,M2N
David Hornell,32 Victoria Street,Etobicoke,M8V 1M6,M8V
Blantyre,290 Blantyre Avenue,Scarborough,M1N 2S4,M1N
Rosethorn,2 Remington Drive,Etobicoke,M9A 2J1,M9A
Ogden,33 Phoebe Street,Toronto,M5T 1A8,M5T
Dunlace,20 Dunlace Drive,North York,M2L 2S1,M2L
West Hill,299 Morningside Avenue,West Hill,M1E 3G1,M1E
Lord Lansdowne,33 Robert Street,Toronto,M5S 2K2,M5S
Donview Middle Health and Wellness Academy,20 Evermede Drive,North York,M3A 2S3,M3A
Corvette,30 Corvette Avenue,Scarborough,M1K 3G2,M1K
General Mercer,30 Turnberry Avenue,Toronto,M6N 1P8,M6N
City View Alternative Senior School,38 Shirley Street,Toronto,M6K 1S9,M6K
Shirley Street,38 Shirley Street,Toronto,M6K 1S9,M6K
John D Parker,202 Mount Olive Drive,Etobicoke,M9V 3Z5,M9V
Silverthorn Community School,300 Kane Avenue,York,M6M 3P1,M6M
Bessborough Drive Elementary and,211 Bessborough Drive,East York,M4G 3K2,M4G
Montrose,301 Montrose Avenue,Toronto,M6G 3G9,M6G
Horizon Alternative Senior School,401 College Street,Toronto,M5T 1S9,M5T
Thomas L Wells,69 Nightstar Road,Scarborough,M1X 1V6,M1X
Rosedale,22 South Drive,Toronto,M4W 1R1,M4W
Delta Alternative Senior School,301 Montrose Avenue,Toronto,M6G 3G9,M6G
Kensington Community School,401 College Street,Toronto,M5T 1S9,M5T
Wellesworth,225 Wellesworth Drive,Etobicoke,M9C 4S5,M9C
Bloorlea,4050 Bloor Street West,Etobicoke,M9B 1M5,M9B
Daystrom,25 Daystrom Drive,North York,M9M 2A8,M9M
Wilmington Elementary School,330 Wilmington Avenue,North York,M3H 5L1,M3H
Nelson Mandela Park,440 Shuter Street,Toronto,M5A 1X6,M5A
Westway,25 Poynter Drive,Etobicoke,M9R 1K8,M9R
McKee,35 Church Avenue,North York,M2N 6X6,M2N
Inglewood Heights,45 Dempster Street,Agincourt,M1T 2T6,M1T
Beverley Heights,26 Troutbrooke Drive,North York,M3M 1S5,M3M
Brookside,75 Oasis Blvd,Scarborough,M1X 0A3,M1X
Sunnylea,35 Glenroy Avenue,Etobicoke,M8Y 2M2,M8Y
Brookview,4505 Jane Street,North York,M3N 2K7,M3N
