Index,AreaName,Price ($),lat,lng,Address,City
2307,Port Union,89900,43.789452,-79.14077,297 PORT UNION RD,Toronto
2308,Riverdale,779000,43.665936,-79.350891,630 GERRARD ST E,Toronto
2309,Humber Summit,649900,43.757236,-79.568275,42 SEACLIFF BLVD,Toronto
2310,East Danforth,699900,43.682163,-79.322914,659 COXWELL AVE,Toronto
2311,Milliken,619000,43.819019,-79.280113,37 PHALEN CRES,Toronto
2312,Downtown,389900,43.660152,-79.364891,#1906 - 25 COLE ST,Toronto
2313,Toronto,2980000,43.727787,-79.381371,#Ph 9 A - 1 CHEDINGTON PL,Toronto
2314,Midtown Toronto,510000,43.682873,-79.391518,#503 - 1177 YONGE ST,Toronto
2315,New Toronto,599900,43.602974,-79.516861,112 SIXTEENTH ST,Toronto
2316,Downtown,445900,43.659328,-79.382675,#1222 - 386 YONGE ST,Toronto
2317,Bendale,575000,43.747921,-79.254951,35 PENZANCE DR,Toronto
2318,Toronto,399000,43.640209,-79.423943,#912 - 20 JOE SHUSTER WAY,Toronto
2319,Newtonbrook,1798000,43.795513,-79.407936,148 NEWTON DR,Toronto
2320,Black Creek,599000,43.760731,-79.525566,76 WHEATSHEAF CRES,Toronto
2321,Islington - City Centre West,314900,43.640293,-79.559761,#2410 - 5 VALHALLA INN RD,Toronto
2322,Scarborough Village,208000,43.744812,-79.214561,#1802 - 3380 EGLINTON AVE,Toronto
2323,Bayview Village,368800,43.76498,-79.383522,#2012 - 1 REAN DR,Toronto
2324,Port Royal,70000,43.81366,-79.29142,3833 MIDLAND AVE,Toronto
2325,Willowdale,3448000,43.778057,-79.394241,122 ESTELLE AVE,Toronto
2326,Morningside,414000,43.788795,-79.20681,#71 - 441 MILITARY TR,Toronto
2327,Brookhaven - Amesbury,580000,43.698372,-79.49884,8 A TEDDER ST,Toronto
2328,Malvern,478000,43.792263,-79.237587,#406 - 1585 MARKHAM RD,Toronto
2329,Humber Summit,589900,43.755226,-79.562088,104 GOLDSBORO RD,Toronto
2330,Malvern,249900,43.791836,-79.237404,#9 G - 8 ROSEBANK DR,Toronto
2331,Scarborough Junction,25000,43.729729,-79.266891,725 KENNEDY RD,Toronto
2332,Long Branch,415000,43.589939,-79.545006,#505 - 3865 LAKE SHORE BLVD W,Toronto
2333,Highland Creek,939000,43.79401,-79.158142,4046 ELLESMERE RD,Toronto
2334,York University Heights,319900,43.762249,-79.500114,#404 - 455 SENTINEL RD,Toronto
