,AreaName,Price ($),lat,lng,Address,City
2231,Downtown,59000,43.657394000000004,-79.383034,#1 - 27 ELM ST,Toronto
2232,Downtown,99000,43.647537,-79.386871,214 KING ST W,Toronto
2233,Midtown Toronto,3800000,43.672955,-79.398491,66 TRANBY AVE,Toronto
2234,Niagara,394900,43.638512,-79.400894,#307 - 169 FORT YORK BLVD,Toronto
2235,Toronto,364000,43.640335,-79.424477,#1726 - 38 JOE SHUSTER WAY,Toronto
2236,Harwood,758888,43.670788,-79.476288,2170 ST CLAIR AVE W,Toronto
2237,Downtown,498000,43.665749,-79.385513,#1109 - 5 ST JOSEPH ST,Toronto
2238,Downtown,629900,43.645984999999996,-79.389938,#1902 - 8 MERCER ST,Toronto
2239,Beach Hill,699000,43.674515,-79.319717,317 COXWELL AVE,Toronto
2240,Downtown,568800,43.648029,-79.37406899999999,#305 - 55 FRONT ST E,Toronto
2241,Midtown Toronto,60000,43.711712,-79.399101,2481 A YONGE ST,Toronto
2242,Downtown,634900,43.661384999999996,-79.380608,#1808 - 45 CARLTON ST,Toronto
2243,Downtown,535800,43.640223999999996,-79.39595,#1049 - 10 CAPREOL CRT,Toronto
2244,Downtown,519900,43.642509000000004,-79.377365,#1304 - 33 BAY ST,Toronto
2245,Toronto,299900,43.640209000000006,-79.42394300000001,1115 20 JOE SHUSTER Way,Toronto
2246,The Beach,1548000,43.678608000000004,-79.288513,281 WILLOW AVE,Toronto
2247,Riverdale,379900,43.657913,-79.35006700000001,#611 - 90 BROADVIEW AVE,Toronto
2248,Leslieville,849000,43.670635,-79.336945,135 GALT AVE,Toronto
2249,Downtown,459000,43.655113,-79.384804,#802 - 111 ELIZABETH ST,Toronto
2250,Downtown,412500,43.658798,-79.384392,#607 - 44 GERRARD ST W,Toronto
2251,Leslieville,1098000,43.66621,-79.33356500000001,1447 DUNDAS ST E,Toronto
2252,Downtown,669000,43.638866,-79.398438,#4006 - 85 QUEENS WHARF RD,Toronto
2253,Downtown,485000,43.644783000000004,-79.36279300000001,#403 - 15 MERCHANTS WHARF,Toronto
2254,Downtown,979900,43.642272999999996,-79.372704,#423 - 29 QUEENS QUAY E,Toronto
2255,Downtown,375000,43.663963,-79.383064,#1511 - 25 MAITLAND ST,Toronto
2256,Niagara,375000,43.637432000000004,-79.401039,#523 - 20 BRUYERES MEWS,Toronto
2257,Midtown Toronto,1595000,43.671139000000004,-79.395653,#602 - 4 LOWTHER AVE,Toronto
2258,Downtown,749000,43.665546,-79.387245,#3310 - 1001 BAY ST,Toronto
2259,Downtown,329000,43.640816,-79.395538,#501 - 25 CAPREOL CRT,Toronto
2260,Downtown,589900,43.647224,-79.391098,#2812 - 21 WIDMER ST,Toronto
2261,Downtown,339900,43.660149,-79.360886,#304 - 170 SUMACH ST E,Toronto
2262,Downtown,559900,43.641788,-79.381874,#905 - 14 YORK ST,Toronto
2263,Downtown,469900,43.641422,-79.39959,#605 - 550 FRONT ST W,Toronto
2264,Downtown,389000,43.655956,-79.37291,#604 - 220 GEORGE ST,Toronto
2265,Downtown,329000,43.665546,-79.387245,#316 - 1001 BAY ST,Toronto
2266,Regal Heights,1099000,43.676453,-79.432472,56 ALBERTA AVE,Toronto
2267,Niagara,559000,43.641579,-79.415901,#1043 - 1030 KING ST W,Toronto
2268,Midtown Toronto,1249000,43.727759999999996,-79.389961,236 LAWRENCE AVE E,Toronto
2269,East Danforth,459900,43.685455,-79.313133,#907 - 2055 DANFORTH AVE,Toronto
2270,Downtown,468800,43.669151,-79.387375,#1402 - 21 BALMUTO ST,Toronto
2271,Niagara,329900,43.63673,-79.40050500000001,#606 - 600 FLEET ST,Toronto
2272,Niagara,377399,43.641579,-79.415901,#235 - 1030 KING ST W,Toronto
