SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA,RANK (OUT OF 3046),RATINGS
Josyf Cardinal Slipyj,35 West Deane Park Drive,Toronto,M9B 2R5,M9B,84.0,8.8
St James,230 Humbercrest Boulevard,Toronto,M6S 4L3,M6S,2594.0,4.2
St Jane Frances,2745 Jane Street,Toronto,M3L 2E8,M3L,1984.0,5.5
St Jerome,111 Sharpecroft Boulevard,Toronto,M3J 1P5,M3J,1096.0,6.7
St Joachim,3395 St Clair Avenue East,Toronto,M1L 1W3,M1L,947.0,6.9
St John Bosco,75 Holmesdale Road,Toronto,M6E 1Y2,M6E,2157.0,5.2
St John the Evangelist,20 Beverly Hills Drive,Toronto,M3L 1A1,M3L,1844.0,5.7
St John Vianney,105 Thistledown Boulevard,Toronto,M9V 1J5,M9V,1549.0,6.1
St Josaphat,110 Tenth Street,Toronto,M8V 3G1,M8V,194.0,8.3
St Joseph,176 Leslie Street,Toronto,M4M 3C7,M4M,2765.0,3.6
St Jude,3251 Road,Toronto,M9M 2T9,M9M,2361.0,4.8
St Kevin,15 Murray Glen Drive,Scarborough,M1R 3J6,M1R,2263.0,5.0
St Lawrence,2216 Lawrence Avenue East,Scarborough,M1P 2P9,M1P,388.0,7.8
St Leo,165 Stanley Avenue,Toronto,M8V 1P1,M8V,1322.0,6.4
St Louis,11 Morgan Avenue,Toronto,M8Y 2Z7,M8Y,622.0,7.4
St Luigi,2 Ruskin Avenue,Toronto,M6P 3P8,M6P,1322.0,6.4
Mother Cabrini,720 Renforth Drive,Etobicoke,M9C 2N9,M9C,740.0,7.2
Msgr John Corrigan,100 Royalcrest Road,Toronto,M9V 5B4,M9V,2100.0,5.3
St Malachy,80 Bennett Road West Hill,Toronto,M1E 3Y3,M1E,865.0,7.0
St Marcellus,15 Denfield Street,Toronto,M9R 3H2,M9R,1921.0,5.6
St Margaret,85 Carmichael Avenue,Toronto,M5M 2X1,M5M,1686.0,5.9
St Maria Goretti,21 Kenmark Boulevard,Scarborough,M1K 3N8,M1K,1549.0,6.1
St Mark,45 Cloverhill Rd,Etobicoke,M8Y 1T4,M8Y,1400.0,6.3
St Martha,1865 Sheppard Avenue West,Toronto,M3L 1Y5,M3L,2400.0,4.7
St Martin de Porres,230 Morningside Avenue,Toronto,M1E 3E1,M1E,2210.0,5.1
St Mary,20 Portugal Square,Toronto,M6J 3P2,M6J,2449.0,4.6
St Mary of the Angels,1477 Dufferin Street,Toronto,M6H 4C7,M6H,250.0,8.1
St Matthew,18 Lavender Road,Toronto,M6N 2B5,M6N,2263.0,5.0
St Matthias,101 Van Horne Avenue,Toronto,M2J 2S8,M2J,740.0,7.2
St Maurice,45 Kingsview Boulevard,Toronto,M9R 1T7,M9R,1686.0,5.9
St Monica,14 Broadway Avenue,Toronto,M4P 1T4,M4P,1470.0,6.2
Nativity of Our Lord,35 Saffron Crescent,Toronto,M9C 3T8,M9C,796.0,7.1
St Nicholas,33 Amarillo Drive,Scarborough,M1J 2P7,M1J,1470.0,6.2
St Nicholas of Bari,363 Rogers Road,Toronto,M6E 1R6,M6E,2560.0,4.3
St Norbert,60 Maniza Road,Toronto,M3K 1R6,M3K,947.0,6.9
Our Lady of the Assumption,125 Glenmount Avenue,Toronto,M6B 3C2,M6B,2711.0,3.8
Our Lady of Fatima,3176 St Clair Avenue East,Scarborough,M1L 1V6,M1L,2157.0,5.2
Our Lady of Grace,121 Brimwood Boulevard,Scarborough,M1V 1E5,M1V,388.0,7.8
Our Lady of Lourdes,444 Sherbourne Street,Toronto,M4X 1K2,M4X,1686.0,5.9
Our Lady of Perpetual Help,1 1/2 Garfield Avenue,Toronto,M4T 1E6,M4T,123.0,8.6
Our Lady of Sorrows,32 Montgomery Road,Toronto,M8X 1Z4,M8X,213.0,8.2
Our Lady of Victory,70 Guestville Avenue,Toronto,M6N 4N3,M6N,2815.0,3.4
Precious Blood,1035 Pharmacy Avenue,Scarborough,M1R 2G8,M1R,1844.0,5.7
Prince of Peace,255 Alton Towers Circle,Scarborough,M1V 4E7,M1V,194.0,8.3
St Paschal Baylon,15 Paschal Court,Toronto,M2M 1X6,M2M,1400.0,6.3
St Paul,80 Sackville Street,Toronto,M5A 3E5,M5A,1984.0,5.5
St Pius X,71 Jane Street,Toronto,M6S 3Y3,M6S,388.0,7.8
Regina Mundi,70 Playfair Avenue,Toronto,M6B 2P9,M6B,1921.0,5.6
St Raphael,3 Gade Drive,Toronto,M3M 2K2,M3M,622.0,7.4
