,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
63,Englemount - Lawrence,289000,43.722183,-79.432846,#308 - 35 SARANAC BLVD,Toronto,M6A 2G4,M6A
64,Eglinton West,309900,43.691715,-79.468506,#701 - 2470 EGLINTON AVE W,Toronto,M6M 5E7,M6M
65,Church and Wellesley,649000,43.667664,-79.380318,#Th78 - 86 GLOUCESTER ST,Toronto,M4Y 1L9,M4Y
66,Willowdale,315000,43.757355,-79.409355,#211 - 18 HARRISON GARDEN BLVD,Toronto,M2N 7K6,M2N
67,Newtonbrook,489888,43.79047,-79.44825,#1607 - 1101 STEELES AVE W,Toronto,M2R 3W5,M2R
68,Scarborough Village,220000,43.745232,-79.212135,#406 - 3420 EGLINTON AVE E,Toronto,M1J 2H9,M1J
69,Bayview Village,329900,43.768475,-79.381607,#301 - 650 SHEPPARD AVE E,Toronto,M2K 1B7,M2K
70,Rockcliffe - Smythe,469900,43.676445,-79.505966,#1401 - 250 SCARLETT RD,Toronto,M6N 2M6,M6N
71,L'Amoreaux,318000,43.806473,-79.335167,#206 A - 1038 MCNICOLL AVE,Toronto,M1W 2J6,M1W
72,Agincourt,298888,43.779205,-79.281517,#2921 - 181 VILLAGE GREEN SQ,Toronto,M1S 0K5,M1S
73,Agincourt,339000,43.778614,-79.281258,#501 - 151 VILLAGE GREEN SQ,Toronto,M1S 0K5,M1S
74,Kennedy Park,339000,43.725407,-79.251518,#910 - 5 GREYSTONE WALK DR,Toronto,M1K 5J5,M1K
75,Willowdale,699880,43.764893,-79.410446,#3806 - 18 SPRING GARDEN AVE,Toronto,M2N 7M2,M2N
76,Toronto,329000,43.824078,-79.273773,#2014 - 80 ALTON TOWERS CIRC,Toronto,M1V 5E8,M1V
77,Agincourt,369000,43.778069,-79.281731,#710 - 125 VILLAGE GREEN SQ,Toronto,M1S 0G5,M1S
78,Islington - City Centre West,325000,43.639355,-79.536949,#412 - 5229 DUNDAS ST W,Toronto,M9B 6L9,M9B
79,Islington - City Centre West,284500,43.643349,-79.558502,#242 B - 364 THE EAST MALL AVE,Toronto,M9B 6C5,M9B
80,Milliken,188000,43.809711,-79.293976,#309 - 200 SILVER STAR BLVD,Toronto,M1V 5H4,M1V
81,Rockcliffe - Smythe,519000,43.67659,-79.507599,#911 - 260 SCARLETT RD,Toronto,M6N 4X6,M6N
82,Humber Bay Shores,515000,43.628979,-79.477852,#1509 - 2111 LAKE SHORE BLVD W,Toronto,M8V 4B2,M8V
83,Etobicoke West Mall,259000,43.646812,-79.566681,#115 - 451 THE WEST MALL,Toronto,M9C 1G1,M9C
84,Parkwoods - Donalda,334900,43.752785,-79.332695,#808 - 18 VALLEY WOODS RD,Toronto,M3A 0A1,M3A
