,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
69,Don Valley Village,500000,43.777878,-79.34465,#2017 - 1800 Sheppard Ave,Toronto,M2J 5A7,M2J
70,Swansea,444900,43.636173,-79.470757,#510 - 105 The Queensway Ave,Toronto,M6S 5B5,M6S
71,Port Lands,0,43.647285,-79.351509,33 VILLIERS Street,Toronto,M5A 1A7,M5A
72,Edenbridge - Humber Valley,4625000,43.673866,-79.514618,185 Edenbridge Dr,Toronto,M9A 3G6,M9A
73,Midtown Toronto,247777,43.68766,-79.438766,373 Oakwood Ave,Toronto,M6E 2W1,M6E
74,Downtown,1795000,43.666443,-79.366661,86 WINCHESTER ST,Toronto,M4X 1B2,M4X
75,Milliken,343000,43.800751,-79.300117,#403&amp;404 - 3852 Finch Ave,Toronto,M1T 3T9,M1T
76,Downtown,665000,43.638866,-79.398438,#3506 - 85 QUEENS WHARF RD,Toronto,M5V 1A9,M5V
77,Riverdale,1100000,43.666096,-79.350159,656 GERRARD ST E,Toronto,M4M 1Y3,M4M
78,Willowdale,298000,43.773746,-79.415512,#201 - 68 Canterbury Pl,Toronto,M2N 1Y7,M2N
79,Downtown,399900,43.655113,-79.384804,#825 - 111 ELIZABETH ST,Toronto,M5G 1P7,M5G
80,Downtown,569000,43.653973,-79.388565,#1108 - 426 University Ave,Toronto,M5G 1S9,M5G
81,York University Heights,314000,43.751213,-79.464142,#516 - 1 De Boers Dr,Toronto,M3J 3E5,M3J
82,Downtown,249900,43.667953,-79.385666,649 YONGE ST,Toronto,M4Y 1Z9,M4Y
83,Malvern,199000,43.788715,-79.235725,#100 - 10 Milner Business Crt,Toronto,M1B 3C6,M1B
84,Midtown Toronto,429900,43.685623,-79.409592,#611 - 6 PARKWOOD AVE,Toronto,M4V 2W9,M4V
85,Clairlea,359000,43.716526,-79.284454,#411 - 60 Fairfax Cres,Toronto,M1L 0E1,M1L
86,Downtown,79000,43.651176,-79.384178,123 Queen St,Toronto,M5H 2N2,M5H
87,Trinity - Bellwoods,879000,43.651451,-79.408516,152 PALMERSTON AVE,Toronto,M6J 2J2,M6J
88,Rockcliffe - Smythe,995000,43.667488,-79.499748,47 Scarlett Rd,Toronto,M6N 4J8,M6N
89,St. Andrew - Windfields,5995000,43.759731,-79.389603,82 Fifeshire Rd,Toronto,M2L 2G8,M2L
90,Tam O'Shanter,295000,43.785805,-79.292114,#909 - 185 Bonis Ave,Toronto,M1T 3W6,M1T
92,Riverdale,749000,43.658451,-79.352722,#810 - 630 QUEEN ST E,Toronto,M4M 1G3,M4M
93,Midtown Toronto,69000,43.704235,-79.388313,621 MOUNT PLEASANT RD E,Toronto,M4S 2M5,M4S
95,Downtown,394000,43.664471,-79.410561,#425 - 783 BATHURST ST,Toronto,M5S 0A8,M5S
96,Weston,249900,43.700413,-79.509697,#18 - 2007 Lawrence Ave,Toronto,M9N 3V1,M9N
97,Lawrence Heights,318000,43.714592,-79.452911,#415 - 800 Lawrence Ave,Toronto,M6A 0B1,M6A
98,Mimico,313900,43.622883,-79.481972,#3606 - 2200 Lake Shore Blvd,Toronto,M8V 1A4,M8V
99,Downtown,1890000,43.654419,-79.394417,#1 A - 150 BEVERLEY ST,Toronto,M5T 1Y5,M5T
100,Downtown,769000,43.641788,-79.381874,#4803 - 14 YORK ST,Toronto,M5J 0B1,M5J
101,Downtown,129000,43.657162,-79.402672,339 College St,Toronto,M5T 1S2,M5T
102,Bathurst Manor,995000,43.752811,-79.451485,830A Sheppard Ave,Toronto,M3H 2T3,M3H
103,Don Mills,390000,43.747749,-79.348656,#A204 - 16 Mallard Rd,Toronto,M3B 3N1,M3B
104,Leslieville,59900,43.664757,-79.341347,#101 - 1189 Dundas St,Toronto,M4M 0A5,M4M
