,Unnamed: 0,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
352,352,Niagara,553000,43.638512,-79.400894,#302 - 169 Fort York Blvd,Toronto,M5V 0C8,M5V
375,375,Niagara,475000,43.636345,-79.404808,#502 - 215 Fort York Blvd,Toronto,M5V 4A2,M5V
379,379,Downtown,714900,43.647224,-79.391098,#1711 - 21 WIDMER ST,Toronto,M5V 0B8,M5V
380,380,Niagara,371999,43.637432,-79.401039,#630 - 20 BRUYERES MEWS,Toronto,M5V 0G8,M5V
388,388,Downtown,329000,43.645985,-79.389938,#703 - 8 MERCER ST,Toronto,M5V 0C4,M5V
389,389,Downtown,367500,43.645069,-79.390862,#601 - 270 WELLINGTON ST W,Toronto,M5V 3P5,M5V
394,394,Downtown,406000,43.645985,-79.389938,#2504 - 8 MERCER ST,Toronto,M5V 0C4,M5V
395,395,Downtown,479000,43.645573,-79.398994,#708 - 10 MORRISON ST,Toronto,M5V 2T8,M5V
396,396,Niagara,479000,43.637432,-79.401039,#629 - 20 BRUYERES MEWS,Toronto,M5V 0G8,M5V
405,405,Niagara,545000,43.636963,-79.404671,#1470 - 209 FORT YORK BLVD,Toronto,M5V 4A1,M5V
406,406,Niagara,1924000,43.641808,-79.403,#520 /52- 62/64 NIAGARA ST,Toronto,M5V 1C5,M5V
416,416,Niagara,319900,43.63665,-79.405701,#618 - 219 FORT YORK BLVD,Toronto,M5V 1A9,M5V
418,418,Niagara,664900,43.643116,-79.405334,#406 - 78 TECUMSETH ST,Toronto,M5V 2R8,M5V
420,420,Downtown,549900,43.638866,-79.398438,#4212 - 85 QUEENS WHARF RD,Toronto,M5V 1A9,M5V
421,421,Niagara,489900,43.636963,-79.404671,#278 - 209 FORT YORK BLVD,Toronto,M5V 4A1,M5V
422,422,Downtown,419900,43.647663,-79.390419,#1811 - 295 ADELAIDE ST W,Toronto,M5V 0L4,M5V
498,498,Downtown,556000,43.647514,-79.3927,#1706 - 101 PETER ST,Toronto,M5V 0G6,M5V
607,607,Niagara,287900,43.636963,-79.404671,#172 - 209 Fort York Blvd,Toronto,M5V 4A1,M5V
620,620,Downtown,512000,43.644173,-79.38942,#808 - 300 Front St,Toronto,M5V 0E9,M5V
621,621,Niagara,329900,43.634632,-79.40139,#433 - 90 Stadium Rd,Toronto,M5V 3W5,M5V
624,624,Niagara,410000,43.637035,-79.402863,#744 - 38 Grand Magazine St,Toronto,M5V 0B2,M5V
631,631,Downtown,474900,43.640224,-79.39595,#755 - 10 Capreol Crt,Toronto,M5V 4A3,M5V
638,638,Downtown,427500,43.638477,-79.397987,#2605 - 75 QUEENS WHARF RD,Toronto,M5V 0J8,M5V
643,643,Niagara,309000,43.63715,-79.400604,#1105 - 15 BRUYERES MEWS,Toronto,M5V 0G8,M5V
646,646,Downtown,399000,43.640259,-79.381729,#2504 - 208 QUEENS QUAY W,Toronto,M5V 3L9,M5V
647,647,Fashion District,339990,43.642097,-79.401573,#611 - 38 NIAGARA ST,Toronto,M5V 3X1,M5V
649,649,Downtown,353000,43.647514,-79.3927,#3205 - 101 PETER ST,Toronto,M5V 0G6,M5V
682,682,Niagara,435000,43.63641,-79.402,#411 - 21 Grand Magazine St,Toronto,M5V 1B5,M5V
684,684,Downtown,800000,43.639683,-79.39212,#1909 - 35 Mariner Terr,Toronto,M5V 3V9,M5V
793,793,Downtown,379800,43.637386,-79.398201,#2903 - 38 DAN LECKIE WAY,Toronto,M5V 2V6,M5V
819,819,Downtown,489000,43.647663,-79.390419,#1706 - 295 ADELAIDE ST W,Toronto,M5V 0L4,M5V
822,822,Downtown,350000,43.640224,-79.39595,#1603 - 10 CAPREOL CRT,Toronto,M5V 4A3,M5V
832,832,Downtown,515000,43.644173,-79.38942,#1813 - 300 FRONT ST W,Toronto,M5V 0E9,M5V
882,882,Downtown,389990,43.647663,-79.390419,#405 - 295 ADELAIDE ST W,Toronto,M5V 0L4,M5V
905,905,Downtown,424900,43.642567,-79.393463,#3309 - 397 FRONT ST W,Toronto,M5V 3S1,M5V
906,906,Downtown,339900,43.647167,-79.397346,#601 - 32 CAMDEN ST,Toronto,M5V 1V1,M5V
915,915,Downtown,625800,43.646248,-79.394531,#1205 - 25 OXLEY ST,Toronto,M5V 2J5,M5V
916,916,Downtown,489900,43.637062,-79.396721,#1027 - 550 QUEENS QUAY,Toronto,M5V 2V6,M5V
930,930,Downtown,569000,43.647224,-79.391098,#2304 - 21 WIDMER ST,Toronto,M5V 0B8,M5V
932,932,Downtown,369888,43.638866,-79.398438,#523 - 85 QUEENS WHARF RD,Toronto,M5V 1A9,M5V
938,938,Downtown,399000,43.642654,-79.393059,#1509 - 381 FRONT ST W,Toronto,M5V 3R8,M5V
944,944,Downtown,558000,43.644173,-79.38942,#3503 - 300 FRONT ST W,Toronto,M5V 0E9,M5V
948,948,Downtown,506000,43.638477,-79.397987,#618 - 75 QUEENS WHARF RD,Toronto,M5V 0J8,M5V
980,980,Downtown,474900,43.640224,-79.39595,#755 - 10 CAPREOL CRT,Toronto,M5V 4A3,M5V
992,992,Niagara,329900,43.63665,-79.405701,#2306 - 219 FORT YORK BLVD,Toronto,M5V 1A9,M5V
993,993,Niagara,345000,43.643291,-79.404724,#903 - 725 KING ST,Toronto,M5V 2W9,M5V
994,994,Downtown,399900,43.639343,-79.399841,#2111 - 170 FORT YORK BLVD,Toronto,M5V 0E6,M5V
997,997,Downtown,1900000,43.6404,-79.392075,#Ph02 - 10 NAVY WHARF CRT,Toronto,M5V 3V2,M5V
998,998,Downtown,384900,43.642654,-79.393059,#901 - 381 FRONT ST W,Toronto,M5V 3R8,M5V
1096,1096,Downtown,575000,43.647224,-79.391098,#4206 - 21 Widmer St,Toronto,M5V 0B8,M5V
1097,1097,Downtown,710000,43.645821,-79.394623,#1211 - 438 King St,Toronto,M5V 1K3,M5V
1128,1128,Downtown,299999,43.640259,-79.381729,#2301 - 208 Queens Quay,Toronto,M5V 3L9,M5V
1163,1163,Downtown,299900,43.641075,-79.393974,#329 - 4K SPADINA AVE,Toronto,M5V 3Y9,M5V
1189,1189,Downtown,374900,43.637386,-79.398201,#716 - 38 DAN LECKIE WAY,Toronto,M5V 2V6,M5V
1191,1191,Niagara,429900,43.636963,-79.404671,#1073 - 209 FORT YORK BLVD,Toronto,M5V 4A1,M5V
1253,1253,Downtown,498000,43.649082,-79.392082,#3506 - 318 RICHMOND ST W,Toronto,M5V 0B4,M5V
1254,1254,Niagara,494999,43.636345,-79.404808,#108 - 215 FORT YORK BLVD,Toronto,M5V 4A2,M5V
1278,1278,Downtown,615000,43.644852,-79.399101,#305 - 560 KING ST,Toronto,M5V 1M3,M5V
1292,1292,Niagara,749900,43.636234,-79.403122,#2002 - 628 Fleet St,Toronto,M5V 1A8,M5V
346,346,Lawrence Heights,328888,43.714592,-79.452911,#1817 - 800 LAWRENCE AVE W,Toronto,M6A 0B1,M6A
567,567,Englemount - Lawrence,448000,43.721115,-79.430847,#806 - 2 COVINGTON RD,Toronto,M6A 3E2,M6A
570,570,Englemount - Lawrence,959000,43.720905,-79.430969,#Ph205 - 8 COVINGTON RD,Toronto,M6A 3E5,M6A
592,592,Lawrence Heights,359900,43.714592,-79.452911,#318 - 800 LAWRENCE AVE W,Toronto,M6A 0B1,M6A
796,796,Nortown,199000,43.728687,-79.431671,3499 BATHURST ST,Toronto,M6A 2C5,M6A
830,830,Englemount - Lawrence,2399000,43.725357,-79.443275,151 REGINA AVE,Toronto,M6A 1R9,M6A
1192,1192,Lawrence Heights,484888,43.714592,-79.452911,#714 - 800 LAWRENCE AVE,Toronto,M6A 0B1,M6A
1221,1221,Nortown,2500,43.727039,-79.431366,3415 Bathurst St,Toronto,M6A 2C1,M6A
144,144,Midtown Toronto,349900,43.704834,-79.439888,#1501 - 360 RIDELLE AVE,Toronto,M6B 1K1,M6B
435,435,Briar Hill,549000,43.702183,-79.444046,14 DANESBURY AVE,Toronto,M6B 3K7,M6B
448,448,Glen Park,192900,43.705845,-79.466965,#1105 - 50 LOTHERTON PKWY,Toronto,M6B 2G7,M6B
457,457,Glen Park,207777,43.707066,-79.466217,#105 - 200 LOTHERTON PTWY,Toronto,M6B 2G6,M6B
769,769,Glen Park,367777,43.707157,-79.467438,165 LOTHERTON PTWY,Toronto,M6B 2G6,M6B
977,977,Midtown Toronto,1348000,43.711784,-79.43515,90 GLEN PARK AVE,Toronto,M6B 2C3,M6B
1045,1045,Glen Park,175000,43.705845,-79.466965,#204 - 50 LOTHERTON PTWY,Toronto,M6B 2G7,M6B
1153,1153,Briar Hill - Belgravia,739000,43.70676,-79.443169,354 /356 MARLEE AVE,Toronto,M6B 3H8,M6B
370,370,Midtown Toronto,529000,43.68705,-79.433083,185 ATLAS AVE,Toronto,M6C 3P6,M6C
715,715,Midtown Toronto,529000,43.683132,-79.419281,#1603 - 530 ST CLAIR AVE,Toronto,M6C 1A2,M6C
766,766,Midtown Toronto,799999,43.687363,-79.436615,120 CEDRIC AVE,Toronto,M6C 3X8,M6C
797,797,Midtown Toronto,765000,43.690857,-79.438042,238 CEDRIC AVE,Toronto,M6C 3Y1,M6C
1299,1299,Midtown Toronto,749000,43.690628,-79.433762,237 Winnett Ave,Toronto,M6C 3L8,M6C
125,125,Oakwood Village,659000,43.691177,-79.444824,554 LAUDER AVE,Toronto,M6E 3J4,M6E
133,133,Midtown Toronto,10000,43.693039,-79.440842,507 OAKWOOD AVE,Toronto,M6E 2W9,M6E
229,229,Fairbank,799000,43.690666,-79.46199,32B Keith Ave,Toronto,M6E 2C6,M6E
239,239,Toronto,559000,43.682991,-79.459412,220 Gilbert Ave,Toronto,M6E 4W5,M6E
369,369,Oakwood Village,1459000,43.680222,-79.440544,206 LAUDER AVE,Toronto,M6E 3H4,M6E
619,619,Earlscourt,99000,43.677418,-79.444275,1201 St Clair Ave,Toronto,M6E 1B5,M6E
729,729,Belgravia,2798800,43.696499,-79.447227,1728 Eglinton Ave,Toronto,M6E 2H5,M6E
775,775,Earlscourt,399888,43.678635,-79.444672,#502 - 26 NORTON AVE,Toronto,M6E 1E2,M6E
790,790,Belgravia,2798800,43.696499,-79.447227,1728 Eglinton Ave,Toronto,M6E 2H5,M6E
824,824,Earlscourt,1190000,43.679775,-79.448845,90 EARLSCOURT AVE,Toronto,M6E 4A9,M6E
954,954,Earlscourt,99000,43.677418,-79.444275,1201 ST CLAIR AVE W,Toronto,M6E 1B5,M6E
1143,1143,Earlscourt,372000,43.678635,-79.444672,#1010 - 26 NORTON AVE,Toronto,M6E 1E2,M6E
381,381,Little Italy,188000,43.658806,-79.422653,379 HARBORD ST,Toronto,M6G 1H8,M6G
613,613,Little Italy,69000,43.655296,-79.414032,596 College St,Toronto,M6G 1B4,M6G
639,639,Midtown Toronto,149900,43.664047,-79.416756,680 BLOOR ST W,Toronto,M6G 1L2,M6G
719,719,Bracondale Hill,810000,43.675793,-79.430817,38 Winona Dr,Toronto,M6G 3S6,M6G
988,988,Midtown Toronto,7800000,43.677525,-79.418228,82 WYCHWOOD PARK,Toronto,M6G 2V5,M6G
55,55,Regal Heights,1099000,43.676453,-79.432472,56 ALBERTA AVE,Toronto,M6H 2R6,M6H
319,319,Wallace Emerson,315000,43.665203,-79.447601,#411 - 812 LANSDOWNE AVE,Toronto,M6H 4K5,M6H
391,391,Davenport,618900,43.670906,-79.449074,#62 - 55 FOUNDRY AVE,Toronto,M6H 4K7,M6H
398,398,Wallace Emerson,1075000,43.661148,-79.441711,66 EMERSON AVE,Toronto,M6H 3S9,M6H
414,414,Dufferin Grove,1900000,43.654331,-79.427017,476 DOVERCOURT RD,Toronto,M6H 2W4,M6H
512,512,Earlscourt,518888,43.674404,-79.454514,#3 - 108 CALEDONIA PARK RD,Toronto,M6H 4A8,M6H
636,636,Dufferin Grove,1599000,43.654137,-79.424477,872 College St,Toronto,M6H 1A3,M6H
640,640,Dufferin Grove,1079000,43.65834,-79.425323,161 Concord Ave,Toronto,M6H 2P2,M6H
669,669,Davenport,699000,43.673634,-79.431572,71 Somerset Ave,Toronto,M6H 2R3,M6H
975,975,Davenport,699000,43.673634,-79.431572,71 SOMERSET AVE,Toronto,M6H 2R3,M6H
986,986,Regal Heights,1300000,43.675892,-79.441948,1593 DUFFERIN ST,Toronto,M6H 3L5,M6H
1121,1121,Wallace Emerson,899900,43.659885,-79.440331,370 Margueretta St,Toronto,M6H 3S5,M6H
1269,1269,Wallace Emerson,64900,43.659683,-79.437279,1174 BLOOR ST W,Toronto,M6H 1N1,M6H
285,285,Little Portugal,418000,43.642593,-79.425537,#610 - 1169 Queen St,Toronto,M6J 1J4,M6J
350,350,Little Portugal,929000,43.649033,-79.427734,169 Beaconsfield Ave,Toronto,M6J 3J7,M6J
382,382,Little Portugal,1495000,43.645592,-79.428123,97 GLADSTONE AVE,Toronto,M6J 3L1,M6J
404,404,Little Portugal,949000,43.649033,-79.427734,169 BEACONSFIELD AVE,Toronto,M6J 3J7,M6J
424,424,Little Portugal,379000,43.642963,-79.428223,#1805 - 11 PEEL AVE,Toronto,M6J 1M3,M6J
609,609,Little Portugal,338000,43.641697,-79.423431,#1617 - 36 Lisgar St,Toronto,M6J 0A9,M6J
632,632,Little Portugal,309900,43.641697,-79.423431,#1811W - 36 Lisgar St,Toronto,M6J 0A9,M6J
714,714,Little Portugal,309900,43.641697,-79.423431,#1811W - 36 Lisgar St,Toronto,M6J 0A9,M6J
887,887,Trinity - Bellwoods,2990000,43.650017,-79.406174,81 MARKHAM ST,Toronto,M6J 2G4,M6J
896,896,Trinity - Bellwoods,885000,43.647091,-79.407379,5 EUCLID PL,Toronto,M6J 1J8,M6J
928,928,Little Portugal,429000,43.642391,-79.424736,#1005 - 68 ABELL ST,Toronto,M6J 0B1,M6J
1001,1001,Trinity - Bellwoods,149900,43.649124,-79.420975,220 OSSINGTON AVE,Toronto,M6J 2Z9,M6J
1111,1111,Little Portugal,30000,43.642391,-79.424736,68 Abell St,Toronto,M6J 0B1,M6J
1257,1257,Little Portugal,355000,43.641697,-79.423431,#1007 - 36 LISGAR ST,Toronto,M6J 0A9,M6J
1268,1268,Niagara,1998897,43.645416,-79.408264,737 RICHMOND Street West,Toronto,M6J 1C4,M6J
1271,1271,West Queen West,149000,43.645443,-79.41169,893 QUEEN ST W,Toronto,M6J 1G5,M6J
1276,1276,Little Italy,849000,43.652946,-79.41256,248 CLAREMONT ST,Toronto,M6J 2N1,M6J
7,7,Toronto,245000,43.640335,-79.424477,#1619 - 38 JOE SHUSTER WAY,Toronto,M6K 0A5,M6K
14,14,Toronto,229000,43.640335,-79.424477,#320 - 38 JOE SHUSTER WAY,Toronto,M6K 0A5,M6K
24,24,Toronto,364000,43.640335,-79.424477,#1726 - 38 JOE SHUSTER WAY,Toronto,M6K 0A5,M6K
34,34,Toronto,299900,43.640209,-79.423943,1115 20 JOE SHUSTER Way,Toronto,M6K 0A4,M6K
56,56,Niagara,559000,43.641579,-79.415901,#1043 - 1030 KING ST W,Toronto,M6K 0B4,M6K
61,61,Niagara,377399,43.641579,-79.415901,#235 - 1030 KING ST W,Toronto,M6K 0B4,M6K
212,212,Niagara,549000,43.641579,-79.415901,#352 - 1030 KING ST W,Toronto,M6K 0B4,M6K
540,540,Liberty Village,335000,43.638573,-79.41375,#606 - 59 EAST LIBERTY ST,Toronto,M6K 3R1,M6K
541,541,Liberty Village,329000,43.638607,-79.411858,#1812 - 51 EAST LIBERTY ST,Toronto,M6K 3P8,M6K
542,542,Liberty Village,488800,43.638306,-79.414787,#1003 - 75 EAST LIBERTY ST,Toronto,M6K 0A2,M6K
560,560,Liberty Village,319000,43.638607,-79.411858,#303 - 51 EAST LIBERTY ST,Toronto,M6K 3P8,M6K
571,571,Liberty Village,519500,43.638607,-79.411858,#209 - 51 EAST LIBERTY ST,Toronto,M6K 3P8,M6K
573,573,Parkdale,1050000,43.635376,-79.440872,Ph 4603 -2045 LAKE SHORE BLVD,Toronto,M6K 3C1,M6K
681,681,Niagara,409900,43.637386,-79.418587,#405 - 5 HANNA AVE,Toronto,M6K 0B3,M6K
735,735,Toronto,239900,43.640335,-79.424477,#1317 - 38 JOE SHUSTER WAY,Toronto,M6K 0A5,M6K
791,791,Little Portugal,145000,43.649624,-79.433273,1543 DUNDAS ST W,Toronto,M6K 1T6,M6K
890,890,Parkdale,329900,43.642883,-79.430664,#410 - 24 NOBLE ST,Toronto,M6K 2C8,M6K
919,919,Niagara,405000,43.641735,-79.41449,#602 - 1000 KING ST W,Toronto,M6K 3N1,M6K
934,934,Niagara,399900,43.641579,-79.415901,#623 - 1030 KING ST W,Toronto,M6K 0B4,M6K
1017,1017,Toronto,399000,43.640209,-79.423943,#912 - 20 JOE SHUSTER WAY,Toronto,M6K 0A4,M6K
1035,1035,Niagara,259900,43.641579,-79.415901,#401 - 1030 KING ST W,Toronto,M6K 0B4,M6K
1051,1051,Liberty Village,449900,43.638054,-79.414818,#918 - 65 EAST LIBERTY ST,Toronto,M6K 0A2,M6K
1110,1110,Niagara,449000,43.640865,-79.414619,#726 - 1 Shaw St,Toronto,M6K 0A1,M6K
1185,1185,Parkdale,1098000,43.635262,-79.426628,11 THORBURN AVE,Toronto,M6K 1C4,M6K
1202,1202,Liberty Village,389000,43.638775,-79.41626,#1315 - 150 EAST LIBERTY ST,Toronto,M6K 3R5,M6K
1262,1262,Parkdale,1599000,43.635567,-79.441315,2312 LAKE SHORE BLVD W,Toronto,M6K,M6K
232,232,Maple Leaf,499900,43.720539,-79.48439,144 Rory Rd,Toronto,M6L 3G4,M6L
828,828,Amesbury,99000,43.705917,-79.488579,#3 - 1575 LAWRENCE AVE,Toronto,M6L 1C3,M6L
1242,1242,Rustic,750000,43.714989,-79.503326,45 Beckett Ave,Toronto,M6L 2B3,M6L
169,169,Brookhaven - Amesbury,449900,43.698521,-79.497978,69 STEWART SMITH DR,Toronto,M6M 2T7,M6M
279,279,Silverthorn,629000,43.690617,-79.46476,553 Blackthorn Ave,Toronto,M6M 3C7,M6M
360,360,Mount Dennis,480000,43.690044,-79.494453,39 Victoria Blvd,Toronto,M6M 2B9,M6M
366,366,Mount Dennis,350000,43.692898,-79.506203,#104 - 56 SIDNEY BELSEY CRES,Toronto,M6M 5H9,M6M
368,368,Beechborough - Greenbrook,699000,43.696888,-79.476875,7 GREENBROOK DR,Toronto,M6M 2J9,M6M
467,467,Silverthorn,589000,43.692989,-79.474442,2071 KEELE ST,Toronto,M6M 3Y8,M6M
563,563,Brookhaven,206900,43.697231,-79.490097,#501 - 10 MARTHA EATON WAY,Toronto,M6M 4C2,M6M
595,595,Brookhaven,184900,43.697231,-79.490097,#706 - 10 Martha Eaton Way,Toronto,M6M 4C2,M6M
665,665,Silverthorn,649000,43.693424,-79.471298,91 Lonborough Ave,Toronto,M6M 1X7,M6M
722,722,Brookhaven,189900,43.697231,-79.490097,#201 - 10 Martha Eaton Way,Toronto,M6M 4C2,M6M
912,912,Brookhaven - Amesbury,3450000,43.705173,-79.473534,36 MILFORD AVE,Toronto,M6M 2V8,M6M
957,957,Silverthorn,599000,43.69495,-79.468224,7 COLFAX ST,Toronto,M6M 3K4,M6M
1026,1026,Brookhaven - Amesbury,580000,43.698372,-79.49884,8 A TEDDER ST,Toronto,M6M 4W7,M6M
1160,1160,Brookhaven - Amesbury,749000,43.696663,-79.494972,116 Via Cassia Dr,Toronto,M6M 5L3,M6M
1208,1208,Silverthorn,649000,43.688412,-79.467247,468 SILVERTHORN AVE,Toronto,M6M 3H8,M6M
25,25,Harwood,758888,43.670788,-79.476288,2170 ST CLAIR AVE W,Toronto,M6N 5C1,M6N
85,85,Silverthorn,825000,43.680763,-79.469574,41 HILLARY AVE,Toronto,M6N 2C1,M6N
148,148,Rockcliffe - Smythe,599000,43.667286,-79.49749,69 BERNICE CRES,Toronto,M6N 1W7,M6N
233,233,Harwood,419900,43.678665,-79.478302,75 Cayuga Ave,Toronto,M6N 2G4,M6N
235,235,Lambton,639000,43.670361,-79.501076,71 Delemere Ave,Toronto,M6N 1Z8,M6N
244,244,Harwood,869000,43.676849,-79.482109,52B Hilldale Rd,Toronto,M6N 3Y2,M6N
367,367,Silverthorn,624880,43.681507,-79.465294,190 CHAMBERS AVE,Toronto,M6N 3M6,M6N
432,432,Harwood,40000,43.67535,-79.478867,#02 - 155 MCCORMACK ST,Toronto,M6N 1X8,M6N
458,458,Mount Dennis,549000,43.685081,-79.485382,1021 WESTON RD,Toronto,M6N 3R9,M6N
784,784,Silverthorn,649900,43.680458,-79.46653,676 Old Weston Rd,Toronto,M6N 3B5,M6N
809,809,Rockcliffe - Smythe,674900,43.67289,-79.500313,80 EDINBOROUGH CRT,Toronto,M6N 2E8,M6N
943,943,Rockcliffe - Smythe,489500,43.6679,-79.496674,41 BERNICE CRES,Toronto,M6N 1W7,M6N
1079,1079,Earlscourt,569900,43.679035,-79.463066,84 Rosethorn Ave,Toronto,M6N 3L1,M6N
1087,1087,Carleton Village,600000,43.670776,-79.462044,227 Old Weston Rd,Toronto,M6N 3A6,M6N
1091,1091,Toronto,399000,43.679928,-79.495888,84 Grandville Ave,Toronto,M6N 4V2,M6N
1122,1122,Rockcliffe - Smythe,794900,43.677685,-79.472687,262 Weston Rd,Toronto,M6N 3P5,M6N
1174,1174,Rockcliffe - Smythe,794990,43.667053,-79.503334,178 EILEEN AVE,Toronto,M6N 1W1,M6N
1261,1261,Silverthorn,659900,43.679874,-79.469025,45 LAVENDER RD,Toronto,M6N 2B6,M6N
1277,1277,Carleton Village,1490000,43.670361,-79.455589,1928 -30 DAVENPORT RD,Toronto,M6N 2X1,M6N
641,641,High Park North,629500,43.653648,-79.467949,#704 - 20 GOTHIC AVE,Toronto,M6P 1T5,M6P
680,680,High Park North,629500,43.653648,-79.467949,704 20 GOTHIC Avenue,Toronto,M6P 1T5,M6P
808,808,High Park North,549000,43.654373,-79.46788,#1908 - 50 Quebec Ave,Toronto,M6P 4B4,M6P
923,923,The Junction,1600000,43.664932,-79.45961,2710 DUNDAS ST W,Toronto,M6P 1Y2,M6P
704,704,Roncesvalles Village,735000,43.650043,-79.444771,#112 - 363 SORAUREN AVE W,Toronto,M6R 3C1,M6R
1273,1273,Parkdale,1300000,43.640388,-79.438339,1508 QUEEN ST W,Toronto,M6R 1A4,M6R
86,86,Lambton Baby Point,486900,43.648071,-79.486664,#307 - 2 OLD MILL DR,Toronto,M6S,M6S
88,88,Lambton Baby Point,478800,43.648243,-79.486626,#615 - 1 OLD MILL DR,Toronto,M6S 0A1,M6S
266,266,Lambton Baby Point,539900,43.648071,-79.486664,#612 - 2 Old Mill Dr,Toronto,M6S,M6S
317,317,Swansea,498000,43.636292,-79.470467,#2005 - 103 THE QUEENSWAY AVE,Toronto,M6S 5B3,M6S
320,320,Swansea,250000,43.636173,-79.470757,#3409 - 105 THE QUEENSWAY AVE,Toronto,M6S 5B5,M6S
321,321,Swansea,345000,43.636292,-79.470467,#416 - 103 THE QUEENSWAY AVE,Toronto,M6S 5B3,M6S
392,392,Swansea,329900,43.636173,-79.470757,105 The Queensway Road,Toronto,M6S 5B5,M6S
403,403,Swansea,989000,43.648193,-79.479431,325 WINDERMERE AVE,Toronto,M6S 3K9,M6S
409,409,Swansea,499000,43.636173,-79.470757,#3403 - 105 THE QUEENSWAY,Toronto,M6S 5B5,M6S
737,737,Lambton Baby Point,399900,43.648071,-79.486664,#728 - 2 OLD MILL DR,Toronto,M6S,M6S
829,829,Swansea,419900,43.63905,-79.472717,#1401 - 45 SOUTHPORT ST,Toronto,M6S 3N5,M6S
952,952,Swansea,410000,43.636818,-79.47419,#116 - 1 RIPLEY AVE,Toronto,M6S 4Z6,M6S
1061,1061,Runnymede,949900,43.659569,-79.481377,593 Annette St,Toronto,M6S 2C3,M6S
1069,1069,Swansea,254900,43.636814,-79.468163,#Th82 - 9 Windermere Ave,Toronto,M6S 5A4,M6S
1081,1081,Swansea,999000,43.652039,-79.470833,#703 - 383 Ellis Park Rd,Toronto,M6S 5B2,M6S
1088,1088,Swansea,509000,43.636292,-79.470467,#2305 - 103 The Queensway Ave,Toronto,M6S 5B3,M6S
1105,1105,Lambton,795000,43.663177,-79.490776,3 Bradley Ave,Toronto,M6S 2M9,M6S
1194,1194,Sunnyside,439900,43.636307,-79.466087,#1707 - 1900 LAKE SHORE BLVD W,Toronto,M6S,M6S
1241,1241,Lambton,828888,43.663452,-79.490456,560 JANE ST,Toronto,M6S 4A5,M6S
121,121,Mimico,659900,43.619488,-79.488205,26 VICTORIA ST,Toronto,M8V 1M6,M8V
154,154,Mimico,268000,43.630383,-79.476273,#1007 - 3 MARINE PARADE DR,Toronto,M8V 3Z4,M8V
160,160,Mimico,675000,43.621376,-79.483429,#Ph 2 - 15 LEGION RD,Toronto,M8V 0B1,M8V
189,189,Mimico,549900,43.624969,-79.478081,#3007 - 59 ANNIE CRAIG DR,Toronto,M8V 0C4,M8V
191,191,Mimico,399900,43.625542,-79.477242,#1406 - 80 MARINE PARADE DR,Toronto,M8V 0A3,M8V
215,215,Mimico,343000,43.62273,-79.483192,#2706 - 2220 LAKESHORE RD,Toronto,M8V 0C1,M8V
297,297,Mimico,305000,43.622883,-79.481972,#4105 - 2200 Lake Shore Blvd,Toronto,M8V 1A4,M8V
326,326,Mimico,305000,43.622883,-79.481972,#4105 - 2200 LAKE SHORE BLVD,Toronto,M8V 1A4,M8V
329,329,Mimico,469980,43.622883,-79.481972,#3007 - 2200 LAKE SHORE BLVD W,Toronto,M8V 1A4,M8V
376,376,New Toronto,699000,43.604565,-79.518341,#3 - 300 New St,Toronto,M8V 2E8,M8V
444,444,Mimico,339900,43.625542,-79.477242,#201 - 80 MARINE PARADE DR,Toronto,M8V 0A3,M8V
460,460,Mimico,1579000,43.606827,-79.492538,7 DARTMOUTH CRES,Toronto,M8V 1W9,M8V
476,476,Mimico,799900,43.608631,-79.498894,70 STRUTHERS ST,Toronto,M8V 1Y1,M8V
487,487,New Toronto,248888,43.601498,-79.510078,#607 - 4 ELSINORE PATH,Toronto,M8V 4G7,M8V
497,497,Mimico,399900,43.624969,-79.478081,#1510 - 59 ANNIE CRAIG DR,Toronto,M8V 0C4,M8V
521,521,Mimico,575000,43.608696,-79.498596,64 STRUTHERS ST,Toronto,M8V 1Y1,M8V
523,523,Mimico,614700,43.619488,-79.488205,26 VICTORIA ST,Toronto,M8V 1M6,M8V
534,534,Mimico,749900,43.628983,-79.477852,#Ph 8 - 2111 LAKE SHORE BLVD W,Toronto,M8V 4B2,M8V
535,535,Mimico,749900,43.628983,-79.477852,PH 8 2111 Lake Shore Boulevard W,Toronto,M8V 4B2,M8V
538,538,Mimico,438000,43.62273,-79.483192,#2709 - 2220 LAKE SHORE BLVD,Toronto,M8V 0C1,M8V
539,539,Mimico,449000,43.631355,-79.474609,#1102 - 2045 LAKE SHORE BLVD W,Toronto,M8V 2Z6,M8V
558,558,Mimico,361900,43.622883,-79.481972,#4502 - 2200 LAKESHORE BLVD W,Toronto,M8V 1A4,M8V
610,610,New Toronto,599000,43.602879,-79.517662,99 Seventeenth St,Toronto,M8V 3K5,M8V
633,633,Mimico,899000,43.627769,-79.478523,#908 - 2119 Lake Shore Blvd,Toronto,M8V 4E8,M8V
672,672,New Toronto,749000,43.598137,-79.521706,16 Twenty Second St,Toronto,M8V 3M1,M8V
694,694,Mimico,579000,43.621063,-79.483322,#1206 - 2240 LAKE SHORE BLVD W,Toronto,M8V 0B1,M8V
752,752,Mimico,520000,43.630383,-79.476273,#1904 - 3 MARINE PARADE DR,Toronto,M8V 3Z4,M8V
833,833,Mimico,379900,43.624306,-79.480461,#904 - 2175 LAKE SHORE BLVD,Toronto,M8V 1A2,M8V
